CMD_MIL_AREA,UF,MUNICIPIO,ENTIDADE,CURSO,LOCAL,INICIO,TERMINO,CARGA_HORARIA,EFETIVO_INICIAL,EFETIVO_FINAL,VALOR_HORA_AULA,VALOR_TOTAL
CMN,AP,Macapá,SENAI - AP,SOLDADOR NO PROCESSO ELETRODO REVESTIDO EM AÇ,"Av. Padre Júlio Maria Lombaerd, 2026, Bairro",18/9/2017,17/11/2017,240,8,8,"R$ 2,77","R$ 5.318,40"
CMN,MA,São Luiz,SENAI - Unidade Monte Castelo,Pedreiro de Alvenaria,SEDE,28/8/2017,29/9/2017,180,1,3,"R$ 3,20","R$ 1.728,00"
CMN,MA,Imperatriz,SENAI,Boas Práticas na Manipulação de Alimentos,SENAI IMPERATRIZ,11/9/2017,6/10/2017,40,3,3,"R$ 0,20","R$ 24,00"
CMN,MA,Imperatriz,SEST/SENAT,Preparo de carnes,SEST/SENAT IMPERATRIZ,11/9/2017,29/9/2017,40,2,2,"R$ 0,20","R$ 16,00"
CMN,MA,Imperatriz,SENAC,Corel Drall,SENAC IMPERATRIZ,11/9/2017,27/10/2017,50,2,2,"R$ 0,20","R$ 20,00"
CMN,MA,Imperatriz,SENAI,Introdução a fotografia,SENAI IMPERATRIZ,11/9/2017,13/10/2017,50,2,2,"R$ 0,20","R$ 20,00"
CMN,MA,Imperatriz,SENAI,Excel básico,SENAI IMPERATRIZ,11/9/2017,6/10/2017,50,2,2,"R$ 0,30","R$ 30,00"
CMN,MA,Imperatriz,SENAI,Eletricista Instalador Residencial,SENAI IMPERATRIZ,11/9/2017,13/10/2017,180,2,2,"R$ 2,00","R$ 720,00"
CMN,MA,Imperatriz,SENAI,Marceneiro de Móveis,SENAI IMPERATRIZ,11/9/2017,20/10/2017,160,2,2,"R$ 2,00","R$ 640,00"
CMN,MA,Imperatriz,SENAI,Padeiro de Alvenaria,SENAI IMPERATRIZ,11/9/2017,13/10/2017,160,2,2,"R$ 2,00","R$ 640,00"
CMN,PA,Belém,SENAC,Montador e Reparador de Computador,Centro de Educação Profissional Armando Marti,25/9/2017,8/12/2017,200,25,25,"R$ 3,30","R$ 16.500,00"
CMN,PA,Belém,SENAI,Mecânico de Refrigeração e Climatização Domés,SENAI,1/9/2017,1/11/2017,160,20,20,"R$ 3,82","R$ 12.224,00"
CMN,PA,Belém,SENAI,Eletricista de Automóveis,Cedam-PA,18/9/2017,17/11/2017,160,20,20,"R$ 3,82","R$ 12.224,00"
CMN,PA,Belém,SENAC,Garçom,CEP,18/9/2017,17/11/2017,240,25,25,"R$ 4,00","R$ 24.000,00"
CMN,PA,Belém,SENAC,Auxiliar de Garçom (Cumim),CEP,18/9/2017,17/11/2017,160,25,25,"R$ 4,00","R$ 16.000,00"
CMN,PA,Altamira,"SENAI, ALTAMIRA,PA",TÉCNICAS DE MANUTENÇÃO DO SISTEMA DE INJEÇÃO,"SENAI, ALTAMIRA,PA",30/10/2017,17/11/2017,60,3,3,"R$ 5,50","R$ 990,00"
CMN,PA,Altamira,"SENAI, ALTAMIRA,PA",TÉCNICAS DE INSTALAÇÕES HIDRÁULICAS PREDIAL,"SENAI, ALTAMIRA,PA",1/12/2017,14/12/2017,40,2,2,"R$ 5,50","R$ 440,00"
CMN,PA,Altamira,"SENAI, ALTAMIRA,PA",Mecanico de Motor de Popa,"SENAI, ALTAMIRA,PA",3/8/2017,29/9/2017,160,5,5,"R$ 5,50","R$ 4.400,00"
CMN,PA,Altamira,"SENAI, ALTAMIRA,PA",Mecanico de Automóvel,"SENAI, ALTAMIRA,PA",3/8/2017,29/9/2017,160,5,5,"R$ 5,50","R$ 4.400,00"
