CMD_MIL_AREA,UF,MUNICIPIO,ENTIDADE,CURSO,LOCAL,INICIO,TERMINO,CARGA_HORARIA,EFETIVO_INICIAL,EFETIVO_FINAL,VALOR_HORA_AULA,VALOR_TOTAL
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte Escolar,4º B Log,9/5/2017,18/5/2017,50,25,21,"R$ 5,00","R$ 5.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,6/2/2017,17/2/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,20/3/2017,31/3/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,22/5/2017,2/6/2017,70,8,8,"R$ 5,00","R$ 2.800,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,24/7/2017,4/8/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,25/9/2017,5/10/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,20/11/2017,1/12/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Curso para Condutores de Veículos de Emergênc,4º B Log,21/8/2017,25/8/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte Coletivo de Passageiros,4º B Log,2/7/2017,12/7/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte de Cargas Indivisíveis,4º B Log,6/6/2017,14/6/2017,50,25,22,"R$ 5,00","R$ 5.500,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte de Produtos Perigosos,4º B Log,23/5/2017,31/5/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte Escolar,4º B Log,7/3/2017,15/3/2017,50,25,21,"R$ 5,00","R$ 5.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte Escolar,4º B Log,21/11/2017,29/11/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,8/5/2017,19/5/2017,70,8,8,"R$ 5,00","R$ 2.800,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,3/7/2017,14/7/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,4/9/2017,21/9/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,6/11/2017,17/11/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Curso para Condutores de Veículos de Emergênc,4º B Log,20/6/2017,28/6/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte Coletivo de Passageiros,4º B Log,25/4/2017,4/5/2017,50,25,24,"R$ 5,00","R$ 6.000,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte de Cargas Indivisíveis,4º B Log,27/3/2017,31/3/2017,50,25,22,"R$ 5,00","R$ 5.500,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte de Produtos Perigosos,4º B Log,20/3/2017,24/3/2017,50,25,22,"R$ 5,00","R$ 5.500,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte de Produtos Perigosos,4º B Log,5/12/2017,14/12/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte Escolar,4º B Log,4/9/2017,21/9/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,6/3/2017,17/3/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,24/4/2017,5/5/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,19/6/2017,30/6/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,21/8/2017,1/9/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,23/10/2017,3/11/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Curso para Condutores de Veículos de Emergênc,4º B Log,4/4/2017,12/4/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte Coletivo de Passageiros,4º B Log,20/2/2017,2/3/2017,50,25,22,"R$ 5,00","R$ 5.500,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte Coletivo de Passageiros,4º B Log,7/11/2017,16/11/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte de Cargas Indivisíveis,4º B Log,10/10/2017,19/10/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte de Produtos Perigosos,4º B Log,26/9/2017,4/10/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte Escolar,4º B Log,17/7/2017,21/7/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,20/2/2017,3/3/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Bagé,SENAT/PELOTAS,Transporte de Cargas Indivisíveis,SENAT/Pelotas-RS,16/10/2017,20/10/2017,50,8,8,"R$ 5,00","R$ 2.000,00"
CMS,RS,Bagé,SENAT/PELOTAS,Condutor de Veículos de Emergência,SENAT/Pelotas-RS,2/10/2017,6/10/2017,50,6,6,"R$ 5,00","R$ 1.500,00"
CMS,RS,Bagé,SENAT/PELOTAS,Transporte Coletivo de Passageiros,SENAT/Pelotas-RS,25/9/2017,29/9/2017,50,12,12,"R$ 5,00","R$ 3.000,00"
CMS,RS,Bagé,SENAT/PELOTAS,Transporte de Produtos Perigosos,SENAT/Pelotas-RS,11/9/2017,15/9/2017,50,6,6,"R$ 5,00","R$ 1.500,00"
CMS,RS,Uruguaiana,SEST/SENAT - URUGUAIANA,transporte coletivo de passageiros,SENAT/URUGUAIANA,6/11/2017,10/11/2017,50,20,20,"R$ 3,60","R$ 3.600,00"
CMS,RS,Uruguaiana,SEST/SENAT - URUGUAIANA,transporte de produtos perigosos,SENAT/URUGUAIANA,23/10/2017,27/10/2017,50,10,10,"R$ 3,60","R$ 1.800,00"
CMS,RS,Uruguaiana,SEST/SENAT - URUGUAIANA,gestão de frota,SENAT/URUGUAIANA,16/10/2017,18/10/2017,20,6,6,"R$ 4,50","R$ 540,00"
CMS,RS,Uruguaiana,1º CTA,Cabeamento e redes eletrônicas de dados,1° CTA -RS,16/10/2017,27/10/2017,50,4,4,"R$ 5,00","R$ 1.000,00"
CMS,RS,Uruguaiana,SEST/SENAT - URUGUAIANA,mecânica diesel,SENAT/URUGUAIANA,2/10/2017,11/11/2017,40,4,4,"R$ 5,00","R$ 800,00"
CMS,RS,Uruguaiana,SEST/SENAT - URUGUAIANA,transporte de cargas indivisíveis,SENAT/URUGUAIANA,7/8/2017,12/8/2017,50,8,8,"R$ 3,60","R$ 1.440,00"
CMS,RS,Uruguaiana,SEST/SENAT - URUGUAIANA,transporte de emergência,SENAT/URUGUAIANA,27/11/2017,1/12/2017,50,6,6,"R$ 3,60","R$ 1.080,00"
CMS,RS,Caxias do Sul,SENAT/CAXIAS DO SUL,Transporte de Produtos Perigosos,Unidade B 58,11/9/2017,15/9/2017,50,10,10,"R$ 4,00","R$ 2.000,00"
CMS,RS,Caxias do Sul,SENAT/CAXIAS DO SUL,Transporte Coletivo de Passageiros,Unidade B 58,2/10/2017,6/10/2017,50,13,13,"R$ 4,00","R$ 2.600,00"
CMS,RS,Caxias do Sul,SENAT/CAXIAS DO SUL,Condutor de Veículos de Emergência,Unidade B 58,25/9/2017,29/9/2017,50,17,17,"R$ 4,00","R$ 3.400,00"
CMS,RS,Bagé,SENAT/PELOTAS,Transporte de Cargas Indivisíveis,SEST SENAT - PELOTAS,16/10/2017,20/10/2017,50,8,8,"R$ 5,00","R$ 2.000,00"
CMS,RS,Bagé,SENAT/PELOTAS,Condutor de Veículos de Emergência,SEST SENAT - PELOTAS,2/10/2017,6/10/2017,50,8,8,"R$ 5,00","R$ 2.000,00"
CMS,RS,Bagé,SENAT/PELOTAS,Transporte Coletivo de Passageiros,SEST SENAT - PELOTAS,25/9/2017,29/9/2017,50,8,8,"R$ 5,00","R$ 2.000,00"
CMS,RS,Bagé,SENAT/PELOTAS,Transporte de Produtos Perigosos,SEST SENAT - PELOTAS,11/9/2017,15/9/2017,50,8,8,"R$ 5,00","R$ 2.000,00"
CMS,RS,Itaqui,SEST SENAT,TRANSPORTE DE EMERGÊNCIA,1º Regimento de Cavalaria Mecanizada,16/10/2017,20/10/2017,25,25,25,"R$ 5,20","R$ 3.250,00"
CMS,RS,Itaqui,SEST SENAT,MOVIMENTAÇÃO DE PRODUTOS PERIGOSOS - MOPP,1º Regimento de Cavalaria Mecanizada,16/10/2017,20/10/2017,50,25,25,"R$ 3,60","R$ 4.500,00"
CMS,RS,Itaqui,SEST SENAT,COLETIVO DE PASSAGEIROS,1º Regimento de Cavalaria Mecanizada,16/10/2017,20/10/2017,25,1,1,"R$ 5,20","R$ 130,00"
CMS,RS,Cachoeira do Sul,3º Batalhão de Engenharia de Combate,Mudança de categoria CNH,Cachoeira do Sul - RS,22/5/2017,23/6/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Cachoeira do Sul,3º Batalhão de Engenharia de Combate,Mudança de categoria CNH,Cachoeira do Sul - RS,25/9/2017,27/10/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Cachoeira do Sul,3º Batalhão de Engenharia de Combate,Mudança de categoria CNH,Cachoeira do Sul - RS,17/7/2017,18/8/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santo Ângelo,1º Batalhão de Comunicações,Troca de categoria CNH,Sede da OM,1/8/2017,29/9/2017,70,13,13,"R$ 5,00","R$ 4.550,00"
CMS,RS,Santo Ângelo,1º Batalhão de Comunicações,Troca de categoria CNH,Na sede da OM,17/4/2017,31/7/2017,70,13,13,"R$ 5,00","R$ 4.550,00"
CMS,RS,Santo Ângelo,SEST/SENAT/IJUÍ,Transporte coletivo de passageiros,Sede da OM,1/11/2017,30/11/2017,50,25,25,"R$ 3,20","R$ 4.000,00"
CMS,RS,Santo Ângelo,1º Batalhão de Comunicações,Troca de categoria CNH,Na sede da OM,2/10/2017,14/11/2017,70,11,11,"R$ 5,00","R$ 3.850,00"
CMS,RS,Cruz Alta,SEST/SENAT/IJUÍ,Condutor de veículos de emergência,SEST/SENAT/IJUÍ,2/10/2017,6/10/2017,50,8,8,"R$ 5,00","R$ 2.000,00"
CMS,RS,São Leopoldo,CFC Caberlon,Movimentação e Operação de Produtos Perigosos,SEDE,2/10/2017,14/7/2017,50,8,8,"R$ 5,00","R$ 2.000,00"
CMS,RS,São Leopoldo,CFC Caberlon,Transporte de Emergência,SEDE,6/11/2017,17/11/2017,25,8,8,"R$ 5,00","R$ 1.000,00"
CMS,RS,São Leopoldo,CFC Caberlon,Transporte de Cargas Indivisíveis,SEDE,30/10/2017,3/11/2017,25,8,8,"R$ 5,00","R$ 1.000,00"
CMS,RS,São Leopoldo,16º Grupo de Artilharia de Campanha Autpropul,Mudança de Categoria E,Sede da OM,30/10/2017,1/12/2017,70,15,15,"R$ 5,00","R$ 5.250,00"
CMS,RS,São Leopoldo,CFC Caberlon,Transporte Escolar,SEDE,23/10/2017,27/10/2017,25,8,8,"R$ 5,00","R$ 1.000,00"
CMS,RS,São Leopoldo,16º Grupo de Artilharia de Campanha Autpropul,Mudança de Categoria D,Sede da OM,4/9/2017,6/10/2017,70,15,15,"R$ 5,00","R$ 5.250,00"
CMS,RS,São Leopoldo,CFC Caberlon,Transporte Coletivo,SEDE,16/10/2017,20/10/2017,25,8,8,"R$ 5,00","R$ 1.000,00"
CMS,RS,São Leopoldo,16º Grupo de Artilharia de Campanha Autpropul,Mudança de Categoria C,Sede da OM,1/8/2017,1/9/2017,70,15,15,"R$ 5,00","R$ 5.250,00"
CMS,RS,Ijuí,SEST/SENAT/IJUÍ,transporte de produtos perigosos,Ijuí,11/9/2017,15/9/2017,50,5,5,"R$ 5,00","R$ 1.250,00"
CMS,RS,Ijuí,SEST/SENAT/IJUÍ,Transporte de cargas indivisíveis,Ijuí,16/10/2017,20/10/2017,50,5,5,"R$ 5,00","R$ 1.250,00"
CMS,RS,Ijuí,SEST/SENAT/IJUÍ,Condutor de veículos de emergência,Ijuí,2/10/2017,6/10/2017,50,2,2,"R$ 5,00","R$ 500,00"
CMS,RS,Ijuí,SEST/SENAT/IJUÍ,Transporte coletivo de passageiros,ijui,25/9/2017,29/9/2017,50,8,8,"R$ 5,00","R$ 2.000,00"
CMA,AM,Manaus,CETAM,NR 10,Prefeitura Militar/12ª RM,18/9/2017,29/9/2017,160,25,25,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,Pq R Mnt/12,"Motorista Cat ""C"",""D"" e ""E""",Pq R Mnt/12,24/8/2017,22/7/2017,160,30,28,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,Pq R Mnt/12,"Motorista Cat ""C"",""D"" e ""E""",Pq R Mnt/12,3/9/2017,30/11/2017,160,36,25,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,Pq R Mnt/12,Condutor de veículos de emergência,Pq R Mnt/12,17/7/2017,18/8/2017,160,23,23,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,CETAM,Cozinha industrial,1º BIS (Amv),12/6/2017,13/7/2017,160,22,21,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,CETAM,Confeitaria de doces e salga,1º BIS (Amv),13/11/2017,14/12/2017,160,20,20,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,CETAM,Garçom,Cia C CMA,11/9/2017,11/10/2017,160,20,19,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,CETAM,Solda MIG-MAG,CECMA,10/4/2017,11/5/2017,160,6,6,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SENAI,NR 10 Turma II,Escola SENAI,6/11/2017,21/11/2017,40,5,5,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SENAI,Instalador hidráulico residencial,Escola SENAI,16/10/2017,19/12/2017,120,5,5,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SENAI,Pintor de Obras (noturno),Escola SENAI,16/10/2017,19/12/2017,120,4,4,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SENAI,Desenhista técnico em edificações,Escola SENAI,16/10/2017,19/12/2017,120,2,2,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SENAI,Pintor de Obras,Escola SENAI,16/10/2017,19/12/2017,120,8,8,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SENAI,CISCO CCNA 1,Escola SENAI,16/10/2017,22/11/2017,40,5,5,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SENAI,NR 10 Turma I,Escola SENAI,12/6/2017,13/7/2017,40,4,4,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SENAI,Informática aplicada a construção civil,Escola SENAI,16/10/2017,19/12/2017,120,2,2,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SENAI,Pedreiro de Alvenaria (noturno),Escola SENAI,16/10/2017,19/12/2017,120,4,4,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SENAI,Almoxarife de Obras,Escola SENAI,16/10/2017,19/12/2017,120,7,7,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SENAI,Pedreiro de Alvenaria(diurno),Escola SENAI,16/10/2017,19/12/2017,120,7,7,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SENAI,Sistema elétrico de Potência (SEP) turma II,Escola SENAI,6/11/2017,21/11/2017,120,10,10,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SENAI,Sistema elétrico de Potência (SEP) turma I,Escola SENAI,16/10/2017,31/10/2017,120,10,10,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SENAI,Montador de sistemas de Construção a seco,Escola SENAI,16/10/2017,19/12/2017,120,6,6,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SENAI,Montador de Andaimes,Escola SENAI,16/10/2017,19/12/2017,120,3,3,"R$ 0,00","R$ 0,00"
CMA,AM,Manaus,SESI,Boas Práticas na Manipulação de Alimentos,Cmdo CMA,11/12/2017,15/12/2017,20,25,25,"R$ 0,00","R$ 0,00"
CMA,AM,Tefé,CETAM,Manutenção de motores de popa,16ª BaLog,28/8/2017,22/9/2017,160,16,12,"R$ 0,00","R$ 0,00"
CMA,AM,Tefé,CETAM,Garçom,Cia C 16º Bda Inf Sl,23/10/2017,21/11/2017,160,20,18,"R$ 0,00","R$ 0,00"
CMA,AM,Tefé,CETAM,Pintor de obras,Cia C 16º Bda Inf Sl,31/7/2017,25/8/2017,160,12,11,"R$ 0,00","R$ 0,00"
CMA,AM,Tabatinga,CETAM,Montador e reparador de computadores,CFSol/8º BIS,28/8/2017,22/9/2017,200,20,18,"R$ 0,00","R$ 0,00"
CMA,AM,S. Gabriel da  Cachoeira,CETAM,Eletricidade de baixa tensão,21ª Cia E Cnst,2/5/2017,29/5/2017,160,20,20,"R$ 0,00","R$ 0,00"
CMA,AM,S. Gabriel da  Cachoeira,CETAM,Auxiliar Agropecuário,Cia C 2ª Bda Inf Sl,15/8/2017,14/9/2017,160,20,19,"R$ 0,00","R$ 0,00"
CMA,AM,S. Gabriel da  Cachoeira,CETAM,Cozinha industrial,Cia C 2ª Bda Inf Sl,4/5/2017,31/5/2017,160,21,21,"R$ 0,00","R$ 0,00"
CML,ES,Vila Velha,Corpo de Bombeiros Militar do Estado do Espír,Bombeiro Civil,"Rua 1b, s/n, Quadra 03, Lote 09, Civit II, Se",00/00/0000,00/00/0000,266,20,20,"R$ 0,00","R$ 0,00"
CML,RJ,Rio de Janeiro,ODONTOCLÍNICA CENTRAL DO EXÉRCITO,Auxiliar em Saúde Bucal,"Rua Moncorvo Filho, nº 5, centro, Rio de jane",24/4/2017,10/11/2017,900,20,20,"R$ 0,00","R$ 0,00"
CML,RJ,Rio de Janeiro,ETET Engenheiro Silva Freire,Instalação e Manutenção de Sistemas Hidráulic,"Rua João Vicente 2151, Deodoro - Rio de Janei",9/10/2017,13/12/2017,280,20,20,"R$ 0,00","R$ 0,00"
CML,RJ,Rio de Janeiro,ETET Engenheiro Silva Freire,Eletricista Instalador Predial de Baixa Tensã,"Rua João Vicente 2151, Deodoro - Rio de Janei",10/10/2017,15/12/2017,280,20,20,"R$ 0,00","R$ 0,00"
CML,RJ,Rio de Janeiro,SENAI - Vicente de Carvalho,Encanador de Obras,"Rio de Janeiro, RJ",8/3/2017,20/4/2017,284,10,10,"R$ 0,00","R$ 0,00"
CML,RJ,Rio de Janeiro,SENAI - Vicente de Carvalho,Pedreiro de Alvenaria Estrutural,"Rio de Janeiro, RJ",3/4/2017,31/5/2017,160,10,10,"R$ 0,00","R$ 0,00"
CML,RJ,Rio de Janeiro,SENAI - Vicente de Carvalho,pintor de obras,"Rio de Janeiro, RJ",1/2/2017,13/4/2017,200,10,10,"R$ 0,00","R$ 0,00"
CML,RJ,Rio de Janeiro,SENAI - Vicente de Carvalho,pintor de obras,"Rio de Janeiro, RJ",1/6/2017,10/8/2017,200,10,10,"R$ 0,00","R$ 0,00"
CML,RJ,Rio de Janeiro,SENAI - Vicente de Carvalho,Pedreiro de Alvenaria Estrutural,"Rio de Janeiro, RJ",1/2/2017,30/3/2017,160,10,10,"R$ 0,00","R$ 0,00"
CML,RJ,Rio de Janeiro,SENAI - Vicente de Carvalho,Pedreiro de revestimento em argamassa e cerâm,"Rio de Janeiro, RJ",17/4/2017,13/7/2017,240,10,10,"R$ 0,00","R$ 0,00"
CML,RJ,Rio de Janeiro,SENAI - Vicente de Carvalho,pintor de obras,"Rio de Janeiro, RJ",1/6/2017,10/8/2017,200,13,13,"R$ 0,00","R$ 0,00"
CML,RJ,Rio de Janeiro,SENAI - Vicente de Carvalho,Pedreiro de Alvenaria Estrutural,"Rio de Janeiro, RJ",3/4/2017,31/5/2017,160,10,10,"R$ 0,00","R$ 0,00"
CML,RJ,Rio de Janeiro,SENAI - Vicente de Carvalho,Pedreiro de revestimento em argamassa e cerâm,"Rio de Janeiro, RJ",17/4/2017,13/7/2017,240,13,13,"R$ 0,00","R$ 0,00"
CMN,MA,São Luiz,SENAI - Unidade Monte Castelo,SEGURANÇA DO TRABALHO,SEDE,10/7/2017,12/7/2017,14,20,20,"R$ 0,00","R$ 0,00"
CMN,MA,São Luiz,SENAI - Unidade Monte Castelo,FINANÇAS PESSOAIS,SEDE,14/8/2017,16/8/2017,14,20,20,"R$ 0,00","R$ 0,00"
CMN,MA,São Luiz,SENAI - Unidade Monte Castelo,LÓGICA DE PROGRAMAÇÃO,SEDE,3/7/2017,5/7/2017,14,20,20,"R$ 0,00","R$ 0,00"
CMN,MA,São Luiz,SENAI - Unidade Monte Castelo,METROLOGIA,SEDE,7/8/2017,9/8/2017,14,20,20,"R$ 0,00","R$ 0,00"
CMN,MA,São Luiz,SENAI - Unidade Monte Castelo,FUNDAMENTOS DE LOGISTICA,SEDE,4/9/2017,6/9/2017,14,20,20,"R$ 0,00","R$ 0,00"
CMN,MA,São Luiz,SENAI - Unidade Monte Castelo,Empreendedorismo,SEDE,26/6/2017,28/6/2017,14,20,20,"R$ 0,00","R$ 0,00"
CMN,MA,São Luiz,SENAI - Unidade Monte Castelo,NOÇÕES BÁSICAS DE MECANICA AUTOMOTIVA,SEDE,24/7/2017,26/7/2017,14,20,20,"R$ 0,00","R$ 0,00"
CMN,MA,São Luiz,SENAI - Unidade Monte Castelo,EDUCAÇÃO AMBIENTAL,SEDE,28/8/2017,30/8/2017,14,20,20,"R$ 0,00","R$ 0,00"
CMN,MA,São Luiz,SENAI - Unidade Monte Castelo,TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,SEDE,17/7/2017,19/7/2017,14,20,20,"R$ 0,00","R$ 0,00"
CMN,MA,São Luiz,SENAI - Unidade Monte Castelo,BASICO DESENHO ARQUITETONICO,SEDE,21/8/2017,23/8/2017,14,20,20,"R$ 0,00","R$ 0,00"
CMN,PA,Belém,HGeBe,Auxiliar de Saúde Bucal,HGeBe,3/7/2017,15/9/2017,370,15,15,"R$ 0,00","R$ 0,00"
CMN,PA,Belém,SENAC,Massas e Molhos,SENAC,24/4/2017,28/4/2017,20,5,5,"R$ 0,00","R$ 0,00"
CMN,PA,Belém,SENAI,Segurança na Operação de Empilhadeira,CEDAM-SENAI,9/10/2017,19/10/2017,32,6,6,"R$ 0,00","R$ 0,00"
CMN,PA,Altamira,"SENAI, ALTAMIRA,PA",Técnicas de Recuperação em Sistemas de Injeçã,"SENAI, ALTAMIRA,PA",6/3/2017,31/3/2017,60,6,6,"R$ 0,00","R$ 0,00"
CMN,PA,Altamira,"SENAI, ALTAMIRA,PA",Soldador de Estruturas e Tubulação no Process,"SENAI, ALTAMIRA,PA",31/10/2016,13/2/2017,290,6,6,"R$ 0,00","R$ 0,00"
CMN,PA,Altamira,"SENAI, ALTAMIRA,PA",PANIFICAÇÃO,"SENAI, ALTAMIRA,PA",9/1/2017,21/1/2017,40,6,6,"R$ 0,00","R$ 0,00"
CMO,MS,Campo Grande,SENAR/MS,Beneficiamento e Transformação Caseira da Man,Cmdo CMO,16/5/2017,18/5/2017,24,14,14,"R$ 0,00","R$ 0,00"
CMO,MS,Campo Grande,SENAC/ MS,Técnicas de Finger Food,Comando Militar do Oeste - CMO,7/8/2017,10/8/2017,16,20,20,"R$ 0,00","R$ 0,00"
CMO,MS,Campo Grande,SENAR/MS,Plantio e Manejo de Pomar -Cultivo de Uva,Cmdo CMO,28/8/2017,31/8/2017,32,15,15,"R$ 0,00","R$ 0,00"
CMO,MS,Campo Grande,INSTITUO FEDERAL DE MATO GROSSO DO SUL - IFMS,"Planejamento, Instalação, Manutenção e Config",6º CTA / IFMS - Campo grande MS,5/6/2017,30/11/2017,200,20,20,"R$ 0,00","R$ 0,00"
CMO,MS,Campo Grande,SENAR/MS,Implantação e Manejo Básico de Horta,Cmdo CMO,9/5/2017,11/5/2017,32,17,17,"R$ 0,00","R$ 0,00"
CMO,MS,Campo Grande,SEST/SENAT - Unidade 32,Motorista - Turma MOPP,SEST/SENAT - Unidade 32,20/3/2017,9/4/2017,152,2,2,"R$ 0,00","R$ 0,00"
CMO,MS,Campo Grande,SENAR/MS,Operação e Manutenção de Motoserra,Cmdo CMO,22/8/2017,24/8/2017,24,12,12,"R$ 0,00","R$ 0,00"
CMO,MS,Campo Grande,SENAR/MS,produção de Pães e Salgados,Cmdo CMO,24/10/2017,26/10/2017,24,12,12,"R$ 0,00","R$ 0,00"
CMO,MS,Campo Grande,SENAR/MS,Produção de Pães e Salgados,Cmdo CMO,00/00/0000,00/00/0000,24,15,15,"R$ 0,00","R$ 0,00"
CMO,MS,Campo Grande,SENAR/MS,Controle de Formigas Cortadeiras,Cmdo CMO,21/6/2017,22/6/2017,16,15,15,"R$ 0,00","R$ 0,00"
CMO,MS,Campo Grande,SENAR/MS,Fabricação Caseira de Derivados do Leite,Cmdo CMO,12/9/2017,14/9/2017,24,12,12,"R$ 0,00","R$ 0,00"
CMO,MS,Campo Grande,SENAR/MS,Produção de Alimentos Saudáveis,Cmdo CMO,19/9/2017,20/9/2017,16,12,12,"R$ 0,00","R$ 0,00"
CMO,MS,Campo Grande,SENAR/MS,"Floricultura, Jardinagem e Paisagismo - Agric",Cmdo CMO,8/5/2017,11/5/2017,32,13,13,"R$ 0,00","R$ 0,00"
CMO,MS,Campo Grande,SENAR/MS,Plantio e Manejo de Pomar -Cultivo de Maracuj,Cmdo CMO,19/6/2017,22/6/2017,32,14,14,"R$ 0,00","R$ 0,00"
